tipo,id,size_kb,truncado,falta_seccion,llm_bloqueado,sin_citas,todos_cero,cells_dash_pct
mpio,05756,1.6,1,0,0,0,0,0
mpio,05761,1.6,1,0,0,0,0,0
mpio,05789,1.8,1,0,0,0,0,0
mpio,05790,1.8,1,0,0,0,0,0
mpio,05792,1.6,1,0,0,0,1,0
mpio,05809,1.6,1,0,0,0,0,0
mpio,05819,1.6,1,0,0,0,0,0
mpio,05837,1.9,1,0,0,0,0,0
mpio,05842,1.8,1,0,0,0,0,0
mpio,05854,1.6,1,0,0,0,0,0
mpio,05856,1.8,1,0,0,0,0,0
mpio,05858,1.6,1,0,0,0,0,0
mpio,05861,1.6,1,0,0,0,0,0
mpio,05885,1.6,1,0,0,0,0,0
mpio,05887,1.6,1,0,0,0,0,0
mpio,05890,1.6,1,0,0,0,0,0
mpio,05893,1.6,1,0,0,0,0,0
mpio,08001,1.6,1,0,0,0,0,0
mpio,08078,1.6,1,0,0,0,0,0
mpio,08137,1.6,1,0,0,0,0,0
mpio,08141,1.6,1,0,0,0,0,0
mpio,08296,1.6,1,0,0,0,0,0
mpio,08372,1.6,1,0,0,0,0,0
mpio,08421,1.6,1,0,0,0,0,0
mpio,08433,1.6,1,0,0,0,0,0
mpio,08436,1.6,1,0,0,0,0,0
mpio,08520,1.6,1,0,0,0,0,0
mpio,08549,1.6,1,0,0,0,0,0
mpio,08558,1.6,1,0,0,0,0,0
mpio,08560,1.6,1,0,0,0,0,0
mpio,08573,1.6,1,0,0,0,0,0
mpio,08606,1.6,1,0,0,0,0,0
mpio,08634,1.6,1,0,0,0,0,0
mpio,08638,1.6,1,0,0,0,0,0
mpio,08675,1.6,1,0,0,0,0,0
mpio,08685,1.6,1,0,0,0,0,0
mpio,08758,1.6,1,0,0,0,0,0
mpio,08770,1.6,1,0,0,0,0,0
mpio,08832,1.6,1,0,0,0,0,0
mpio,08849,1.6,1,0,0,0,0,0
mpio,11001,1.6,1,0,0,0,0,0
mpio,13001,1.6,1,0,0,0,0,0
mpio,13006,1.6,1,0,0,0,0,0
mpio,13030,1.6,1,0,0,0,0,0
mpio,13042,1.6,1,0,0,0,0,0
mpio,13052,1.6,1,0,0,0,0,0
mpio,13062,1.6,1,0,0,0,0,0
mpio,13074,1.6,1,0,0,0,0,0
mpio,13140,1.6,1,0,0,0,0,0
mpio,13160,1.6,1,0,0,0,0,0
